ID,Name,Description,TargetValue,RewardType,RewardID,RewardAmount,FromPhase,,,,
ACH-1,서막,마을의 문을 클릭하세요,1,None,,0,,,,,
ACH-2,견습 사신,전투에서 총 1회 승리하세요,1,Soul,,200,,,,,
ACH-3,영혼 수집가,1000 소울을 소모하세요,1000,Soul,,1000,,,,,
ACH-4,영혼 부자,3000 소울을 소모하세요,3000,None,,0,,,,,
ACH-5,반가운 얼굴,캐릭터 상점에서 캐릭터를 구매하세요,1,Memorial,1,1,,,,,
ACH-6,인형은 팔지 않습니다.,아이템 상점에서 아이템을 구매하세요,1,Memorial,3,1,,,,,
ACH-7,인간의 의지,전투에서 패배하세요,1,Soul,,1000,,,,,
ACH-8,베테랑 사신,전투에서 총 10회 승리하세요,10,Soul,,1500,,,,,
ACH-9,전설,전투에서 총 20회 승리하세요,20,Soul,,2000,,,,,
ACH-10,아 누르지 말 걸,크레딧 화면을 보세요,1,Item,10,1,,,,,
ACH-11,죽음 앞에서도 당당하리라,교황과의 전투에서 승리하세요,1,Soul,,1000,,,,,
ACH-12,가지지 못한 것,영생 귀족과의 전투에서 승리하세요,1,Soul,,1000,,,,,
ACH-13,훈련 종료,교관과의 전투에서 승리하세요,1,Soul,,1000,,,,,
ACH-14,늑대 길들이기,실험체의 전투에서 승리하세요,1,Soul,,1000,,,,,
ACH-15,적고 또 적고,서기관의 전투에서 승리하세요,1,Soul,,1000,,,,,
ACH-16,혼자가 아니야,융합체와의 전투에서 승리하세요,1,Soul,,1000,,,,,
ACH-17,익숙한 것,<문>과의 전투에서 승리하세요,1,Soul,,1000,,,,,
ACH-18,운명,알현실 스테이지에 입장하세요,1,Item,22,1,,,,,
ACH-19,해방,왕과의 전투에서 승리하세요,1,Item,23,1,,,,,
ACH-20,있어야 할 곳,<엔딩 1>을 해금하세요,1,Character,9,1,,,,,
ACH-21,사소한 실수,아군 캐릭터를 부활시키세요,1,Memorial,4,1,,,,,
ACH-22,꼬까옷,스킨 상점에서 스킨을 구매하세요,1,Memorial,6,1,,,,,
ACH-23,흥얼흥얼,"Mr. COCKROACH, Mr. FLOWER, Miss. GHOST를 전부 장착하여 전투를 1회 승리하세요",1,Memorial,2,1,,,,,
ACH-24,과거를 보는 자,"사신 마리골드, 아스터, 릴리, 오키드의 기억을 전부 해금하세요",1,Memorial,8,1,,,,,
ACH-25,지시를 내려주세요,행동력을 소모하지 않고 턴을 종료하세요,1,Soul,,1000,,,,,
ACH-26,잭팟,아이템 “주사위”의 효과로 턴 시작 시 보스에게 6의 피해를 1회 입히세요,1,Soul,,1000,,,,,
ACH-27,실직자,마스터 볼륨을 0으로 만드세요,1,Item,21,1,,,,,
ACH-28,탐욕스러운 ,죽음과의 전투에서 승리하세요,1,Soul,,10000,엔딩 1을 보기 전 까지는 업적 창에 표시되지 않음.,,,,
ACH-29,그 날,엔딩 2를 열람하세요,1,Memorial,7,1,엔딩 1을 보기 전 까지는 업적 창에 표시되지 않음.,,,,
ACH-30,필연,기억 <유>를 열람하세요,1,Memorial,5,1,엔딩 2를 보기 전 까지는 업적 창에 표시되지 않음.,,,,
ACH-31,WISH & GRID,"모든 아이템, 캐릭터, 스킨,기억을 해금하세요",1,None,,0,<후일담> 해금  타이틀 화면의 제목이 WISH & GREED로 변경,,,,엔딩 2를 보기 전 까지는 업적 창에 표시되지 않음.
