ID,Name,Price,Description,,,,,*가격 -1은 상점 외 해금
1,녹슨 검,-1,아군 힘 2 증가,,,,,
2,화살,-1,"턴 시작 시, 보스에게 피해 3",,,,,
3,세 번째 단검,-1,"이동 시, 보스에게 피해 1",,,,,
4,소금물,1,"턴 시작 시, 플레이어 HP 2 회복",,,,,
5,부채,1,"사망 시, 보스에게 피해 5",,,,,
6,생존 법칙,1,"사망 시, 플레이어 HP 3 회복",,,,,
7,마법서,1,아군 지능 2 증가,,,,,
8,광기,1,"심판 후, 행동력 1 회복(33%)",,,,,
9,회중시계,1,아군 부활 소모 턴 1 감소,,,,,
10,Mr. COCKROACH,-1,재잘거린다.,,,,,
11,포도주,1,"행동력이 0이 되었을 시, 1 회복한다. ( 턴 당 1회)",,,,,
12,주사위,1,"턴 시작 시, 보스에게 1~6 사이의 피해",,,,,
13,마지막 잎새,1,"플레이어의 HP가 5 이하일 시, 힘 수치와 지능 수치 5 증가",,,,,
14,안경,1,아군 지능 1 증가,,,,,
15,너클,1,아군 힘 1 증가,,,,,
16,담배,1,"턴 시작 시, 플레이어 HP 2 감소, 행동력 최대치 1 증가",,,,,
17,Mr. FLOWER,1,흔들거린다.,,,,,
18,Miss. GHOST,1,흥얼거린다.,,,,,
19,재봉틀,1,"아군 힘, 지능 수치 2 증가",,,,,
20,솜뭉치,1,"턴 시작 시, 플레이어 HP 1 회복",,,,,
21,낡은 기타,-1,적 의지 수치 1 감소,,,,,
22,사신의 낫,-1,캐릭터 ‘꼬마 사신’의 힘과 지능 수치를 3 증가시킨다,,,,,
23,계약서,-1,"플레이어의 HP가 0이 된 경우, 즉시 10 회복(전투당 1회 한정)",,,,,
