ID,NPC,Type,Target,FromPhase,ToPhase,Text,특이사항
NPC_001,릴리,Welcome,,0,0,반가워.,
NPC_002,릴리,,,0,0,원하는 녀석이 있으면 말해.,
NPC_003,릴리,,,0,0,설명 정도는 해 줄게.,
NPC_004,릴리,,,1,1,수고했어.,
NPC_005,릴리,,,1,1,이번 계기로 다들 널 칭찬하더라.,
NPC_006,릴리,,,1,1,음… 새로운 녀석들은 없어.,
NPC_007,릴리,,,1,1,더 듣고 싶은 이야기가 있는거야?,
NPC_008,릴리,,,2,2,어서 와.,
NPC_009,릴리,,,2,2,이제는 정말 다 끝났네.,
NPC_010,릴리,,,2,2,고생했어.,
NPC_011,릴리,,,2,2,해주고 싶은 말이 있다면…,
NPC_012,릴리,,,2,2,조금은 쉬어도 좋아.,
NPC_013,릴리,,,2,2,그리고…..,
NPC_014,릴리,,,2,2,고마워.,
NPC_015,릴리,,,2,2,잊지 않을게.,
NPC_016,릴리,Question,너는 누구야?,0,0,…...,
NPC_017,릴리,,,0,0,나?,
NPC_018,릴리,,,0,0,그냥 여기서 이것저것 만들고 있어.,
NPC_019,릴리,,,0,0,……그 정도만 알아도 돼.,
NPC_020,릴리,,여긴 어디야?,0,0,내가 만든 녀석들을 판매하는 상점이지.,
NPC_021,릴리,,,0,0,판다니까 좀 이상하긴 하네…,
NPC_022,릴리,,,0,0,대여?,
NPC_023,릴리,,,0,0,…....분양?,
NPC_024,릴리,,,0,0,그것도 이상하네.,
NPC_025,릴리,,,0,0,그냥 소중하게만 다뤄줘.,
NPC_026,릴리,,,0,0,부탁이야.,
NPC_027,릴리,,그럼 이것도…,0,0,아….,
NPC_028,릴리,,,0,0,일종의 지원이라 생각해 둬. ,
NPC_029,릴리,,소울?,0,0,죽은 자의 혼을 거둘 때 떨어지는 조각들이야. 부산물이지.,
NPC_030,릴리,,,0,0,우리는 그 조각들을 연구하고 있고.,
NPC_031,릴리,,,0,0,영혼이랑 소울이랑 같은 말 아니냐고?,
NPC_032,릴리,,,0,0,…..,
NPC_033,릴리,,,0,0,나도 알아.,
NPC_034,릴리,,이제 어떻게 할 거야?,1,1,다들 퇴각 명령을 받았어.,
NPC_035,릴리,,,1,1,이정도 사건이면 후속 조치가 분명 있어야 하는데…,
NPC_036,릴리,,,1,1,어째 이번은 좀 이질적이네.,
NPC_037,릴리,,,1,1,난 여기 남으려고.,
NPC_038,릴리,,,1,1,애초에 여기 말고는,
NPC_039,릴리,,,1,1,갈 곳도 없어.,
NPC_040,릴리,,아스포델,1,1,업적 관리하는 사신 말하는 거지?,
NPC_041,릴리,,,1,1,내가 사신이 된 것도 그 분 덕이지.,
NPC_042,릴리,,,1,1,근데 지금은 일선에서 물러나신 거 같아.,
NPC_043,릴리,,아스터,1,1,내가 처음으로 만든 녀석이야.,
NPC_044,릴리,,,1,1,인형이긴 하지만 말도 하고 화도 낼 수 있어.,
NPC_045,릴리,,,1,1,…...,
NPC_046,릴리,,,1,1,나보다 말이 더 많더라.,
NPC_047,릴리,,아스포델,2,2,…...,
NPC_048,릴리,,,2,2,끝내 사신직을 박탈 당하셨어.,
NPC_049,릴리,,,2,2,이제는 저승에서 머물지 못하실 거야.,
NPC_050,릴리,,,2,2,"직책도, 권능도… 전부 잃으셨어.",
NPC_051,릴리,,,2,2,널 원망하진 않아.,
NPC_052,릴리,,,2,2,다만…..,
NPC_053,릴리,,,2,2,다시는 볼 수 없다고 생각하니…,
NPC_054,릴리,,,2,2,조금은 씁쓸하네.,
NPC_055,릴리,,오키드,2,2,스승님이야. ,
NPC_056,릴리,,,2,2,사신이 된 이후 많은 것들을 알려주었어.,
NPC_057,릴리,,,2,2,아주 좋은 분이지.,
NPC_058,릴리,,,2,2,(속삭이며)성격은 좀 고약하긴 해도.,
NPC_059,릴리,,앞으로,2,2,길고 긴 여행을 떠날거야.,
NPC_060,릴리,,,2,2,이제 가고 싶은 곳이 생겼거든.,
NPC_061,릴리,,,2,2,걱정하지 마. 그분을 다시 보지 못할 거란 건 잘 알고 있으니까.,
NPC_062,릴리,Character,사제,0,2,좋은 녀석이지. 너무 고지식하긴 하지만.,
NPC_063,릴리,,무희,0,2,붙임성이 좋은 녀석이야. 도움이 될 거야.,
NPC_064,릴리,,마법사,0,2,녀석의 마법은 나조차도 놀랄 때가 있어.,
NPC_065,릴리,,스캐빈저,0,2,이것저것 주워 오는데… 걸러서 받는 게 좋을 거야.,
NPC_066,릴리,,광신도,0,2,가끔 무슨 말을 하는지 모르겠지만… 괜찮은 녀석이야.,
NPC_067,릴리,Exit,,0,2,잘 가.,
NPC_068,아스터,Welcome,,0,0,어서 오십시오! 오늘도 저희 상점을 찾아 주신 현명하고 안목 있는 고객님을 환영합니다!,
NPC_069,아스터,,,1,1,어서 오십시오! 오늘도 저희 상점을 찾아 주신 현명하고 안목 있는 고객님을 진심으로 환영합니다!,
NPC_070,아스터,,,1,1,…...아직 계셨군요!,
NPC_071,아스터,,,1,1,"아아, 반갑다는 뜻입니다!",
NPC_072,아스터,,,2,2,어서 오십시오! 오늘도 저희 상점을 찾아 주신…..,
NPC_073,아스터,,,2,2,아아…. 어린 사신 친구!,
NPC_074,아스터,,,2,2,이제 마지막이라고 생각하니.. 조금은 슬프네요!,
NPC_075,아스터,,,2,2,그래도... ,
NPC_076,아스터,,,2,2,저의 VIP인 당신을 잊지 않을 겁니다!,
NPC_077,아스터,Question,너는 누구야?,0,0,저 말입니까?,
NPC_078,아스터,,,0,0,"이곳의 물품 관리와 판매, 재고 정리, 회계, 고객 응대 담당이자…",
NPC_079,아스터,,,0,0,사장님의 역작! 이라고 생각합니다!,
NPC_080,아스터,,여긴 어디야?,0,0,"다양한 물건들을 밀수, 제작, 판매 하고 있습니다!",
NPC_081,아스터,,,0,0,원하시는 물건이 있으신가요?,
NPC_082,아스터,,사장님?,0,0,아… '특급 비밀' 이지만 저희 고객님을 위해 기꺼이 말해드리죠!,
NPC_083,아스터,,,0,0,옆에 계신 여성분입니다!,
NPC_084,아스터,,,0,0,두…분이 계신다고요?,
NPC_085,아스터,,,0,0,정정하겠습니다! 제 오른쪽에 서 계신 여성분입니다!,
NPC_086,아스터,,,0,0,저에게 생명을 주신 분이죠!,
NPC_087,아스터,,다들 돌아가면 어떡해?,1,1,하하.. 눈치채셨겠지만…,
NPC_088,아스터,,,1,1,저희 상점의 유일한 손님은 당신이랍니다!,
NPC_089,아스터,,,1,1,당신만 있다면 저희 가게는 24시간 연중무휴 열어놓겠습니다!,
NPC_090,아스터,,,1,1,(옆에서 한숨 소리가 들린다.),
NPC_091,아스터,,아스포델,1,1,사장님의 은인이시죠!,
NPC_092,아스터,,,1,1,그런 이유로..,
NPC_093,아스터,,,1,1,저의 은인이기도 합니다!,
NPC_094,아스터,,성격,1,1,훌륭한 상인의 기본 소양은 고객과의 원활한 소통입니다!,
NPC_095,아스터,,,1,1,사장님 몫까지 제가 말한다고 생각하니…,
NPC_096,아스터,,,1,1,조금은 과묵해질 필요가 있네요!,
NPC_097,아스터,,,1,1,다만…..,
NPC_098,아스터,,,1,1,저는 이왕 일하는 거라면 즐겁게 하는 편이 좋다고 생각합니다!,
NPC_099,아스터,,,1,1,제가 즐거운 마음으로 응대해야 손님도 여기서 좋은 경험을 가져가는거죠!,
NPC_100,아스터,,,1,1,그리고 저는 말하는게 너무 즐겁습니다!,
NPC_101,아스터,,,1,1,우리 친구님만 좋으시다면 여기서 하루 종일 수다를 떨고 싶군요!,
NPC_102,아스터,,,1,1,저희 사장님은 말이 없으신 편이라..,
NPC_103,아스터,,,1,1,저도 조금은 쓸쓸하답니다!,
NPC_104,아스터,,,1,1,그래도 사장님은 좋으신 분이에요!,
NPC_105,아스터,,,1,1,언제는 제가 계산 실수를 했을 때….....,
NPC_106,아스터,,,1,1,(그만 듣기로 했다.),
NPC_107,아스터,,상점가,2,2,예전에는 손님 말고도 다양한 사신들이 이곳에서 장사를 하곤 했습니다…,
NPC_108,아스터,,,2,2,하지만 왕국 사건 이후로 수많은 사신들이 떠나갔습니다..,
NPC_109,아스터,,,2,2,당신의 임무를 지원하라는 명을 받은 저희는 남았지만…,
NPC_110,아스터,,,2,2,사건이 사건인 만큼 여기는 생각보다 위험했거든요!,
NPC_111,아스터,,,2,2,그래도 이제 다시 이곳도 활기를 찾아 갈 겁니다!,
NPC_112,아스터,,친구?,2,2,네! 당신입니다!,
NPC_113,아스터,,,2,2,이번 임무가 끝나면 저희를 비롯한 많은 분들과 헤어지게 된다고 들었습니다!,
